No.,Package Name,Total Package Cost,Total Qualifying Cost,Solution Details,Cost Item
Option 5,SOAR HRMS (200 Headcounts),"$25,000.00","$24,800.00",https://www.gobusiness.gov.sg/images/psg/Enable_Desensitised_Annex_3_Part_5.pdf,"1)
Software
Subscription Contract for [QuickHR Cloud HRMS]
SOAR Package
Subscription Headcounts: Up to 200
Subscription Duration: 12 Months (1 Year)
Subscription Modules include:
(a)    QuickEmployee (Personnel Mgmt)
(b)    QuickPayroll (Payroll Mgmt)
(c)    QuickLeave (Leave Mgmt)
(d)    QuickClaim (Claim & Benefits Mgmt)
(e)    QuickAppraisal (Appraisal Mgmt)
(f)    QuickDashboards (Data Visualisation)
(g)    QuickReports (Excel & PDF exports)
(h)    QuickMobile (iOS, Android & Huawei)
Subscription Features include:
(a)    Singpass Login
(b)   Employee Self-Service
(c)    GIRO, CPF, IRAS (AIS) Submission
(d)    MOM Itemised Payslips
(e)    MOM & PDPA Compliance
(f)    Supports Attendance/ Scheduling Integ.
(g)   Supports Accounting S/W Integ.
(h)   Notifications & Reminders
2) Hardware
Not Applicable
3)
Professional Services
1 Man-Day: Data Migration of Current Year
Employee Data for up to 200 Headcounts
Unlimited Man-Days: Scoping, Implementation &
Account Setup for 1 Corporate Entity
4)
Training
1 Session: Comprehensive Training for
Administrators & Key Users for up to 3 Hours
5) Others
Not Applicable"
Option 1,AGHRM 30,"$3,500.00","$3,500.00",https://www.gobusiness.gov.sg/images/psg/AG_Net_Desensitised_Annex_3_Part_1.pdf,"1)
Software
AGHRM 30 package comprises of 6 Modules -
Personnel, Leave, Claims, Attendance, Payroll and
Performance. This Supports up to 30 Active Users.
2) Hardware
Not Applicable
3)
Professional Services
Data Migration and Configuration for the current year
to compute IRAS and CPF accurately.
4)
Training
Not Applicable
5) Others
Not Applicable"
Option 2,AGHRM 50,"$4,500.00","$4,500.00",https://www.gobusiness.gov.sg/images/psg/AG_Net_Desensitised_Annex_3_Part_2.pdf,"1)
Software
AGHRM 50 package comprises of 6 Modules -
Personnel, Leave, Claims, Attendance, Payroll and
Performance. This Supports up to 50 Active Users.
2) Hardware
Not Applicable
3)
Professional Services
Data Migration and Configuration for the current year
to compute IRAS and CPF accurately.
4)
Training
Not Applicable
5) Others
Not Applicable"
Option 3,AGHRM 100,"$7,200.00","$7,200.00",https://www.gobusiness.gov.sg/images/psg/AG_Net_Desensitised_Annex_3_Part_3.pdf,"1)
Software
AGHRM 100 package comprises of 6 Modules -
Personnel, Leave, Claims, Attendance, Payroll and
Performance. This Supports up to 100 Active Users.
2) Hardware
Not Applicable
3)
Professional Services
Data Migration and Configuration for the current year
to compute IRAS and CPF accurately.
4)
Training
Not Applicable
5) Others
Not Applicable"
Option 4,AGHRM 200,"$12,000.00","$12,000.00",https://www.gobusiness.gov.sg/images/psg/AG_Net_Desensitised_Annex_3_Part_4.pdf,"1)
Software
AGHRM 200 package comprises of 6 Modules -
Personnel, Leave, Claims, Attendance, Payroll and
Performance. This Supports up to 200 Active Users.
2) Hardware
Not Applicable
3)
Professional Services
Data Migration and Configuration for the current year
to compute IRAS and CPF accurately.
4)
Training
Not Applicable
5) Others
Not Applicable"
Option 1,HRMS 50,"$5,000.00","$5,000.00",https://www.gobusiness.gov.sg/images/psg/PeopleCentral_Desensitised_Annex_3_Part_1.pdf,"1)
Software
PEOPLECENTRAL HRMS Version 11 - Package
(HRMS 50)
(Software license / Subscription Fee for 50
employees per year)
Modules include:
•   Management Dashboards
•   Payroll
•   Leave
•   Claims
•   Appraisal
•   Timesheet
•   Reports
•   Employee Self Service
•   Mobile App
2) Hardware
Not Applicable
3)
Professional Services
Installation and Setup 3.5 hours per session
4)
Training
User Onsite Training 3.5 hours per session
5) Others
Not Applicable"
Option 2,HRMS 100,"$10,000.00","$10,000.00",https://www.gobusiness.gov.sg/images/psg/PeopleCentral_Desensitised_Annex_3_Part_2.pdf,"1)
Software
PEOPLECENTRAL HRMS Version 11 - Package
(HRMS 100)
(Software license / Subscription Fee for 100
employees per year)
Modules include:
•   Management Dashboards
•   Payroll
•   Leave
•   Claims
•   Appraisal
•   Timesheet
•   Reports
•   Employee Self Service
•   Mobile App
2) Hardware
Not Applicable
3)
Professional Services
Installation and Setup 3.5 hours per session
4)
Training
User Onsite Training 3.5 hours per session
5) Others
Not Applicable"
Option 3,HRMS 150,"$15,000.00","$15,000.00",https://www.gobusiness.gov.sg/images/psg/PeopleCentral_Desensitised_Annex_3_Part_3.pdf,"1)
Software
PEOPLECENTRAL HRMS Version 11 - Package
(HRMS 150)
(Software license / Subscription Fee for 150
employees per year)
Modules include:
•   Management Dashboards
•   Payroll
•   Leave
•   Claims
•   Appraisal
•   Timesheet
•   Reports
•   Employee Self Service
•   Mobile App
2) Hardware
Not Applicable
3)
Professional Services
Installation and Setup 3.5 hours per session
4)
Training
User Onsite Training 3.5 hours per session
5) Others
Not Applicable"
Option 4,HRMS 200,"$20,000.00","$20,000.00",https://www.gobusiness.gov.sg/images/psg/PeopleCentral_Desensitised_Annex_3_Part_4.pdf,"1)
Software
PEOPLECENTRAL HRMS Version 11 - Package
(HRMS 200)
(Software license / Subscription Fee for 200
employees per year)
Modules include:
•   Management Dashboards
•   Payroll
•   Leave
•   Claims
•   Appraisal
•   Timesheet
•   Reports
•   Employee Self Service
•   Mobile App
2) Hardware
Not Applicable
3)
Professional Services
Installation and Setup 3.5 hours per session
4)
Training
User Onsite Training 3.5 hours per session
5) Others
Not Applicable"
Option 5,HRMS 75,"$7,500.00","$7,500.00",https://www.gobusiness.gov.sg/images/psg/PeopleCentral_Desensitised_Annex_3_Part_5.pdf,"1)
Software
PEOPLECENTRAL HRMS Version 11 - Package
(HRMS 75)
(Software license / Subscription Fee for 75
employees per year)
Modules include:
•   Management Dashboards
•   Payroll
•   Leave
•   Claims
•   Appraisal
•   Timesheet
•   Reports
•   Employee Self Service
•   Mobile App
2) Hardware
Not Applicable
3)
Professional Services
Installation and Setup 3.5 hours per session
4)
Training
User Onsite Training 3.5 hours per session
5) Others
Not Applicable"
Option 1,Human Resources Management System Package (30),"$5,720.00","$5,720.00",https://www.gobusiness.gov.sg/images/psg/hrm_labs_hrms_Desensitised_Annex_3_Part_1.pdf,"1)
Software
Software (with 1st year Subscription fee) 
Platform and Mobile App Up to 30 active users 
Modules: 
Dashboard, Employee Management, Leave
Management, Benefits & Claims Management,
Payroll Management, Attendance Management,
Performance Appraisal Management
2) Hardware
Not Applicable
3)
Professional Services
Setup, update and support for all applications and
including the update of the solution base on
government compliance
4)
Training
One-day Training & Onboarding
5) Others
Not Applicable"
Option 2,Human Resources Management System Package (50),"$8,600.00","$8,600.00",https://www.gobusiness.gov.sg/images/psg/hrm_labs_hrms_Desensitised_Annex_3_Part_2.pdf,"1)
Software
Software (with 1st year Subscription fee) 
Platform and Mobile App Up to 50 active users 
Modules: 
Dashboard, Employee Management, Leave
Management, Benefits & Claims Management,
Payroll Management, Attendance Management,
Performance Appraisal Management
2) Hardware
Not Applicable
3)
Professional Services
Setup, update and support for all applications and
including the update of the solution base on
government compliance
4)
Training
Training & Onboarding
5) Others
Not Applicable"
Option 3,Human Resources Management System Package (80),"$12,660.00","$12,660.00",https://www.gobusiness.gov.sg/images/psg/hrm_labs_hrms_Desensitised_Annex_3_Part_3.pdf,"1)
Software
Software (with 1st year Subscription fee) 
Platform and Mobile App Up to 80 active users 
Modules: 
Dashboard, Employee Management, Leave
Management, Benefits & Claims Management,
Payroll Management, Attendance Management,
Performance Appraisal Management
2) Hardware
Not Applicable
3)
Professional Services
Setup, update and support for all applications and
including the update of the solution base on
government compliance
4)
Training
Training & Onboarding
5) Others
Not Applicable"
Option 4,Human Resources Management System (150),"$21,500.00","$21,500.00",https://www.gobusiness.gov.sg/images/psg/hrm_labs_hrms_Desensitised_Annex_3_Part_4.pdf,"1)
Software
Software (with 1st year Subscription fee) 
Platform and Mobile App Up to 150 active users 
Modules: 
Dashboard, Employee Management, Leave
Management, Benefits & Claims Management,
Payroll Management, Attendance Management,
Performance Appraisal Management
2) Hardware
Not Applicable
3)
Professional Services
Setup, update and support for all applications and
including the update of the solution base on
government compliance
4)
Training
Training & Onboarding
5) Others
Not Applicable"
Option 5,Human Resources Management System (200),"$29,600.00","$29,600.00",https://www.gobusiness.gov.sg/images/psg/hrm_labs_hrms_Desensitised_Annex_3_Part_5.pdf,"1)
Software
Software (with 1st year Subscription fee) 
Platform and Mobile App Up to 200 active users 
Modules: 
Dashboard, Employee Management, Leave
Management, Benefits & Claims Management,
Payroll Management, Attendance Management,
Performance Appraisal Management
2) Hardware
Not Applicable
3)
Professional Services
Setup, update and support for all applications and
including the update of the solution base on
government compliance
4)
Training
Training & Onboarding
5) Others
Not Applicable"
Option 1,Package 1 (20 Users),"$6,400.00","$6,400.00",https://www.gobusiness.gov.sg/images/psg/Timeaccess_TIMEACCESSHRMS_Desensitised_Part1.pdf,"1)
Software
Subscription for (1) year, up to 20 users for TIME
ACCESS HRMS System with the following features:
-Personnel
-Leave
-Claims
-Attendance
-Payroll
-Performance
2) Hardware
Not Applicable
3)
Professional Services
Project Management, Deployment of Software
Migration of Personnel, Leave, Claims, Attendance,
Payroll and Performance data
Account Master Setup per module
Approval setup and user workflow configuration
Build in of organisational structure and user profiles
Appraisal Setup and configuration
Biometric Hardware Integration to existing or new
hardware through Device Module
4)
Training
Comprehensive Software User Training Session
5) Others
Not Applicable"
Option 2,Package 2 (45 Users),"$10,200.00","$10,200.00",https://www.gobusiness.gov.sg/images/psg/Timeaccess_TIMEACCESSHRMS_Desensitised_Part2.pdf,"1)
Software
Subscription for (1) year, up to 45 users for TIME
ACCESS HRMS System with the following features:
-Personnel
-Leave
-Claims
-Attendance
-Payroll
-Performance
2) Hardware
Not Applicable
3)
Professional Services
Project Management, Deployment of Software
Migration of Personnel, Leave, Claims, Attendance,
Payroll and Performance data
Account Master Setup per module
Approval setup and user workflow configuration
Build in of organisational structure and user profiles
Appraisal Setup and configuration
Biometric Hardware Integration to existing or new
hardware through Device Module
4)
Training
Comprehensive Software User Training Session
5) Others
Not Applicable"
Option 3,Package 3 (75 Users),"$14,600.00","$14,600.00",https://www.gobusiness.gov.sg/images/psg/Timeaccess_TIMEACCESSHRMS_Desensitised_Part3.pdf,"1)
Software
Subscription for (1) year, up to 75 users for TIME
ACCESS HRMS System with the following features:
-Personnel
-Leave
-Claims
-Attendance
-Payroll
-Performance
2) Hardware
Not Applicable
3)
Professional Services
Project Management, Deployment of Software
Migration of Personnel, Leave, Claims, Attendance,
Payroll and Performance data
Account Master Setup per module
Approval setup and user workflow configuration
Build in of organisational structure and user profiles
Appraisal Setup and configuration
Biometric Hardware Integration to existing or new
hardware through Device Module
4)
Training
Comprehensive Software User Training Session
5) Others
Not Applicable"
Option 4,Package 4 (120 Users),"$20,000.00","$20,000.00",https://www.gobusiness.gov.sg/images/psg/Timeaccess_TIMEACCESSHRMS_Desensitised_Part4.pdf,"1)
Software
Subscription for (1) year, up to 120 users for TIME
ACCESS HRMS System with the following features:
-Personnel
-Leave
-Claims
-Attendance
-Payroll
-Performance
2) Hardware
Not Applicable
3)
Professional Services
Project Management, Deployment of Software
Migration of Personnel, Leave, Claims, Attendance,
Payroll and Performance data
Account Master Setup per module
Approval setup and user workflow configuration
Build in of organisational structure and user profiles
Appraisal Setup and configuration
Biometric Hardware Integration to existing or new
hardware through Device Module
4)
Training
Comprehensive Software User Training Session
5) Others
Not Applicable"
Option 5,Package 5 (200 Users),"$29,600.00","$29,600.00",https://www.gobusiness.gov.sg/images/psg/Timeaccess_TIMEACCESSHRMS_Desensitised_Part5.pdf,"1)
Software
Subscription for (1) year, up to 200 users for TIME
ACCESS HRMS System with the following features:
-Personnel
-Leave
-Claims
-Attendance
-Payroll
-Performance
2) Hardware
Not Applicable
3)
Professional Services
Project Management, Deployment of Software
Migration of Personnel, Leave, Claims, Attendance,
Payroll and Performance data
Account Master Setup per module
Approval setup and user workflow configuration
Build in of organisational structure and user profiles
Appraisal Setup and configuration
Biometric Hardware Integration to existing or new
hardware through Device Module
4)
Training
Comprehensive Software User Training Session
5) Others
Not Applicable"
